age,income,total_purchases,total_browses,total_spent,avg_order_value,total_page_views,avg_page_views,customer_lifetime_days,purchase_conversion_rate,recency,frequency,monetary
18,50379,21,278,3662.31,12.248528428093646,615,2.05685618729097,361,0.07023411371237458,145.0,21.0,3662.31
23,55177,0,30,0.0,0.0,41,1.3666666666666667,54,0.0,94.0,7.0,1186.5949999999998
28,44171,9,202,800.36,3.793175355450237,367,1.7393364928909953,290,0.04265402843601896,67.0,9.0,800.36
22,50976,11,232,1381.57,5.685473251028807,391,1.6090534979423867,364,0.04526748971193416,116.0,11.0,1381.57
39,56290,4,177,2005.64,11.080883977900553,250,1.3812154696132597,362,0.022099447513812154,265.0,4.0,2005.64
23,62653,9,258,2749.8799999999997,10.299176029962545,461,1.7265917602996255,364,0.033707865168539325,168.0,9.0,2749.8799999999997
53,76637,2,53,153.68,2.7941818181818183,102,1.8545454545454545,69,0.03636363636363636,48.0,2.0,153.68
49,69016,3,81,328.55,3.911309523809524,91,1.0833333333333333,360,0.03571428571428571,306.0,3.0,328.55
50,81420,7,170,2023.26,11.430847457627118,275,1.5536723163841808,240,0.03954802259887006,2.0,7.0,2023.26
67,46454,15,164,4053.02,22.642569832402234,314,1.7541899441340782,256,0.08379888268156424,4.0,15.0,4053.02
47,58084,8,147,951.65,6.139677419354839,197,1.270967741935484,314,0.05161290322580645,24.0,8.0,951.65
69,95618,2,60,294.39,4.748225806451613,92,1.4838709677419355,105,0.03225806451612903,32.0,2.0,294.39
18,62898,20,218,3390.08,14.244033613445378,363,1.5252100840336134,364,0.08403361344537816,395.0,20.0,3390.08
52,87727,16,247,3392.68,12.899923954372623,432,1.6425855513307985,364,0.060836501901140684,206.0,16.0,3392.68
20,55717,7,178,2724.38,14.72637837837838,249,1.345945945945946,362,0.03783783783783784,170.0,7.0,2724.38
28,79979,2,51,1903.03,35.90622641509434,70,1.320754716981132,101,0.03773584905660377,3.0,2.0,1903.0300000000002
55,90309,5,109,326.54,2.8643859649122807,140,1.2280701754385965,309,0.043859649122807015,76.0,5.0,326.54
52,102828,4,111,510.99000000000007,4.443391304347827,144,1.2521739130434784,255,0.034782608695652174,11.0,4.0,510.99000000000007
19,75240,10,288,3721.88,12.489530201342282,612,2.053691275167785,363,0.03355704697986577,174.0,10.0,3721.88
21,80376,11,228,2354.5699999999997,9.85175732217573,373,1.5606694560669456,363,0.04602510460251046,204.0,11.0,2354.5699999999997
38,62062,8,157,814.04,4.933575757575757,228,1.3818181818181818,330,0.048484848484848485,1.0,8.0,814.04
34,50312,11,233,1804.92,7.3972131147540985,378,1.5491803278688525,362,0.045081967213114756,249.0,11.0,1804.92
29,98600,5,30,1244.6599999999999,35.56171428571428,79,2.257142857142857,40,0.14285714285714285,1.0,5.0,1244.6599999999999
