customer_id,total_purchases,total_browses,total_spent,avg_order_value,total_page_views,avg_page_views,first_activity,last_activity,days_since_first,days_since_last,customer_lifetime_days,avg_daily_activity,purchase_conversion_rate,age,gender,location,income,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,days_since_last_purchase,churned
1,21,278,3662.31,12.248528428093646,615,2.05685618729097,2024-08-16,2025-08-12,501,140,361,0.8282548476454293,0.07023411371237458,18,Female,SD,50379,145.0,21.0,3662.31,2,4,4,244,At Risk,140,1
2,0,30,0.0,0.0,41,1.3666666666666667,2025-11-06,2025-12-30,54,0,54,0.5555555555555556,0.0,23,Non-Binary,CT,55177,,,,,,,,,0,1
3,9,202,800.36,3.793175355450237,367,1.7393364928909953,2025-03-15,2025-12-30,290,0,290,0.7275862068965517,0.04265402843601896,28,Female,AR,44171,67.0,9.0,800.36,3,3,2,332,Loyal Customers,0,0
4,11,232,1381.57,5.685473251028807,391,1.6090534979423867,2024-10-07,2025-10-06,449,85,364,0.6675824175824175,0.04526748971193416,22,Female,MO,50976,116.0,11.0,1381.57,2,3,3,233,At Risk,85,0
5,4,177,2005.64,11.080883977900553,250,1.3812154696132597,2024-07-17,2025-07-14,531,169,362,0.5,0.022099447513812154,39,Male,VA,56290,265.0,4.0,2005.64,1,2,3,123,At Risk,169,1
6,9,258,2749.8799999999997,10.299176029962545,461,1.7265917602996255,2024-07-20,2025-07-19,528,164,364,0.7335164835164835,0.033707865168539325,23,Male,MA,62653,168.0,9.0,2749.8799999999997,2,3,4,234,At Risk,164,1
7,2,53,153.68,2.7941818181818183,102,1.8545454545454545,2025-10-22,2025-12-30,69,0,69,0.7971014492753623,0.03636363636363636,53,Non-Binary,AS,76637,48.0,2.0,153.68,3,1,1,311,Need Attention,0,0
8,3,81,328.55,3.911309523809524,91,1.0833333333333333,2024-05-29,2025-05-24,580,220,360,0.23333333333333334,0.03571428571428571,49,Non-Binary,VI,69016,306.0,3.0,328.55,1,1,1,111,Others,220,1
9,7,170,2023.26,11.430847457627118,275,1.5536723163841808,2025-05-04,2025-12-30,240,0,240,0.7375,0.03954802259887006,50,Male,CT,81420,2.0,7.0,2023.26,4,2,3,423,Loyal Customers,0,0
10,15,164,4053.02,22.642569832402234,314,1.7541899441340782,2025-04-18,2025-12-30,256,0,256,0.69921875,0.08379888268156424,67,Non-Binary,IA,46454,4.0,15.0,4053.02,4,4,4,444,Champions,0,0
11,8,147,951.65,6.139677419354839,197,1.270967741935484,2025-02-19,2025-12-30,314,0,314,0.49363057324840764,0.05161290322580645,47,Female,ID,58084,24.0,8.0,951.65,4,3,2,432,Loyal Customers,0,0
12,2,60,294.39,4.748225806451613,92,1.4838709677419355,2025-09-16,2025-12-30,105,0,105,0.5904761904761905,0.03225806451612903,69,Male,ID,95618,32.0,2.0,294.39,3,1,1,311,Need Attention,0,0
13,20,218,3390.08,14.244033613445378,363,1.5252100840336134,2024-01-03,2025-01-01,727,363,364,0.6538461538461539,0.08403361344537816,18,Male,ND,62898,395.0,20.0,3390.08,1,4,4,144,At Risk,363,1
14,16,247,3392.68,12.899923954372623,432,1.6425855513307985,2024-08-21,2025-08-20,496,132,364,0.7225274725274725,0.060836501901140684,52,Non-Binary,NV,87727,206.0,16.0,3392.68,2,4,4,244,At Risk,132,1
15,7,178,2724.38,14.72637837837838,249,1.345945945945946,2024-07-29,2025-07-26,519,157,362,0.511049723756906,0.03783783783783784,20,Male,DC,55717,170.0,7.0,2724.38,2,2,4,224,At Risk,157,1
16,2,51,1903.03,35.90622641509434,70,1.320754716981132,2025-09-20,2025-12-30,101,0,101,0.5247524752475248,0.03773584905660377,28,Male,NE,79979,3.0,2.0,1903.0300000000002,4,1,3,413,Others,0,0
17,5,109,326.54,2.8643859649122807,140,1.2280701754385965,2025-02-24,2025-12-30,309,0,309,0.36893203883495146,0.043859649122807015,55,Female,HI,90309,76.0,5.0,326.54,3,2,1,321,Need Attention,0,0
18,4,111,510.99000000000007,4.443391304347827,144,1.2521739130434784,2025-04-19,2025-12-30,255,0,255,0.45098039215686275,0.034782608695652174,52,Male,KY,102828,11.0,4.0,510.99000000000007,4,2,2,422,Loyal Customers,0,0
19,10,288,3721.88,12.489530201342282,612,2.053691275167785,2024-12-04,2025-12-02,391,28,363,0.8209366391184573,0.03355704697986577,19,Male,NH,75240,174.0,10.0,3721.88,2,3,4,234,At Risk,28,0
20,11,228,2354.5699999999997,9.85175732217573,373,1.5606694560669456,2024-06-11,2025-06-09,567,204,363,0.6584022038567493,0.04602510460251046,21,Male,IA,80376,204.0,11.0,2354.5699999999997,2,3,4,234,At Risk,204,1
21,8,157,814.04,4.933575757575757,228,1.3818181818181818,2025-02-03,2025-12-30,330,0,330,0.5,0.048484848484848485,38,Non-Binary,VI,62062,1.0,8.0,814.04,4,3,2,432,Loyal Customers,0,0
22,11,233,1804.92,7.3972131147540985,378,1.5491803278688525,2024-07-14,2025-07-11,534,172,362,0.6740331491712708,0.045081967213114756,34,Male,CA,50312,249.0,11.0,1804.92,1,3,3,133,At Risk,172,1
23,5,30,1244.6599999999999,35.56171428571428,79,2.257142857142857,2025-11-19,2025-12-29,41,1,40,0.875,0.14285714285714285,29,Female,NV,98600,1.0,5.0,1244.6599999999999,4,2,3,423,Loyal Customers,1,0
24,2,28,380.01,12.667,32,1.0666666666666667,2025-11-03,2025-12-29,57,1,56,0.5357142857142857,0.06666666666666667,55,Female,AS,79704,10.0,2.0,380.01,4,1,1,411,New Customers,1,0
25,13,286,1769.59,5.918361204013378,587,1.9632107023411371,2024-12-31,2025-12-30,364,0,364,0.8214285714285714,0.043478260869565216,68,Female,VI,88150,3.0,13.0,1769.59,4,4,3,443,Champions,0,0
26,15,278,2422.22,8.266962457337883,580,1.9795221843003412,2024-10-04,2025-10-03,452,88,364,0.804945054945055,0.051194539249146756,47,Male,PR,85907,108.0,15.0,2422.22,2,4,4,244,At Risk,88,0
27,1,189,740.99,3.899947368421053,275,1.4473684210526316,2024-10-11,2025-10-10,445,81,364,0.521978021978022,0.005263157894736842,64,Male,OH,60903,402.0,1.0,740.99,1,1,2,112,Others,81,0
28,3,40,175.35999999999999,4.078139534883721,57,1.3255813953488371,2025-10-21,2025-12-30,70,0,70,0.6142857142857143,0.06976744186046512,21,Non-Binary,CT,59982,56.0,3.0,175.35999999999999,3,1,1,311,Need Attention,0,0
29,12,294,1241.6599999999999,4.057712418300653,534,1.7450980392156863,2024-07-13,2025-07-10,535,173,362,0.8453038674033149,0.0392156862745098,66,Female,AR,56251,181.0,12.0,1241.6599999999999,2,4,3,243,At Risk,173,1
30,20,288,4008.7999999999997,13.015584415584415,610,1.9805194805194806,2024-04-09,2025-04-08,630,266,364,0.8461538461538461,0.06493506493506493,58,Male,SD,75352,271.0,20.0,4008.7999999999997,1,4,4,144,At Risk,266,1
31,5,205,1296.34,6.173047619047619,294,1.4,2024-10-07,2025-10-03,449,88,361,0.5817174515235457,0.023809523809523808,46,Non-Binary,ND,80098,154.0,5.0,1296.34,2,2,3,223,At Risk,88,0
32,2,18,245.46,12.273,34,1.7,2025-12-01,2025-12-30,29,0,29,0.6896551724137931,0.1,50,Non-Binary,MP,73907,6.0,2.0,245.46,4,1,1,411,New Customers,0,0
33,5,228,448.53999999999996,1.9250643776824032,358,1.536480686695279,2024-09-11,2025-09-09,475,112,363,0.6418732782369146,0.02145922746781116,38,Non-Binary,AL,59859,133.0,5.0,448.53999999999996,2,2,1,221,Need Attention,112,1
34,10,189,3831.81,19.25532663316583,276,1.3869346733668342,2024-05-11,2025-05-07,598,237,361,0.5512465373961218,0.05025125628140704,35,Male,CO,55297,301.0,10.0,3831.81,1,3,4,134,At Risk,237,1
35,5,110,575.39,5.003391304347826,187,1.626086956521739,2025-07-20,2025-12-30,163,0,163,0.7055214723926381,0.043478260869565216,20,Non-Binary,WV,46742,36.0,5.0,575.39,3,2,2,322,Loyal Customers,0,0
36,4,47,1518.74,29.77921568627451,78,1.5294117647058822,2025-10-25,2025-12-29,66,1,65,0.7846153846153846,0.0784313725490196,19,Non-Binary,PR,61805,12.0,4.0,1518.74,4,2,3,423,Loyal Customers,1,0
37,8,219,1787.7900000000002,7.875726872246697,396,1.7444933920704846,2024-06-04,2025-06-03,574,210,364,0.6236263736263736,0.03524229074889868,59,Male,IA,84866,334.0,8.0,1787.7900000000002,1,3,3,133,At Risk,210,1
