customer_id,age,gender,location,income,account_created_date
1,18,Female,SD,50379,2024-08-13
2,23,Non-Binary,CT,55177,2025-11-03
3,28,Female,AR,44171,2025-03-15
4,22,Female,MO,50976,2024-10-07
5,39,Male,VA,56290,2024-07-17
6,23,Male,MA,62653,2024-07-20
7,53,Non-Binary,AS,76637,2025-10-22
8,49,Non-Binary,VI,69016,2024-05-28
9,50,Male,CT,81420,2025-05-04
10,67,Non-Binary,IA,46454,2025-04-18
11,47,Female,ID,58084,2025-02-19
12,69,Male,ID,95618,2025-09-16
13,18,Male,ND,62898,2024-01-03
14,52,Non-Binary,NV,87727,2024-08-21
15,20,Male,DC,55717,2024-07-27
16,28,Male,NE,79979,2025-09-20
17,55,Female,HI,90309,2025-02-24
18,52,Male,KY,102828,2025-04-18
19,19,Male,NH,75240,2024-12-04
20,21,Male,IA,80376,2024-06-10
21,38,Non-Binary,VI,62062,2025-02-02
22,34,Male,CA,50312,2024-07-14
23,29,Female,NV,98600,2025-11-19
24,55,Female,AS,79704,2025-11-01
25,68,Female,VI,88150,2024-12-31
26,47,Male,PR,85907,2024-10-04
27,64,Male,OH,60903,2024-10-11
28,21,Non-Binary,CT,59982,2025-10-21
29,66,Female,AR,56251,2024-07-11
30,58,Male,SD,75352,2024-04-09
31,46,Non-Binary,ND,80098,2024-10-07
32,50,Non-Binary,MP,73907,2025-12-01
33,38,Non-Binary,AL,59859,2024-09-10
34,35,Male,CO,55297,2024-05-08
35,20,Non-Binary,WV,46742,2025-07-20
36,19,Non-Binary,PR,61805,2025-10-25
37,59,Male,IA,84866,2024-06-04
38,60,Female,GA,88411,2025-01-28
39,56,Non-Binary,MT,91576,2024-06-25
40,30,Female,NM,55941,2025-02-12
41,62,Non-Binary,NJ,72660,2024-02-06
42,32,Female,IL,64083,2025-04-16
43,39,Female,VI,55798,2025-12-28
44,39,Female,MO,62674,2024-05-05
45,39,Male,MH,74816,2025-07-24
46,61,Male,AR,52295,2024-09-21
47,21,Female,GA,54628,2024-04-13
48,52,Non-Binary,MS,82570,2024-02-17
49,30,Non-Binary,AL,63392,2025-10-18
50,43,Male,MS,64206,2025-08-27
51,40,Male,KS,96719,2025-04-19
52,18,Non-Binary,WY,48838,2024-02-28
53,65,Non-Binary,WY,86565,2024-04-06
54,39,Male,NH,103172,2025-08-04
55,20,Male,LA,49038,2024-09-04
56,46,Female,NE,53801,2024-03-27
57,22,Female,UT,56790,2024-08-08
58,29,Female,VA,55440,2025-03-29
59,65,Female,WY,74261,2025-04-19
60,40,Female,OH,86451,2024-12-23
61,22,Female,TN,56134,2025-06-06
62,49,Male,VT,82369,2025-10-21
63,62,Non-Binary,NM,77963,2024-11-21
64,29,Female,FL,65413,2025-10-26
65,50,Male,ID,106995,2025-11-06
66,20,Male,LA,30718,2024-09-25
67,57,Male,IL,71203,2025-02-21
68,51,Non-Binary,AR,78613,2025-08-25
69,24,Male,OR,67355,2025-09-09
70,46,Male,WA,62606,2024-03-16
71,53,Non-Binary,ND,84776,2024-10-04
72,52,Female,AR,65348,2025-11-20
73,41,Male,WA,73207,2024-04-06
74,30,Non-Binary,MD,81065,2025-11-26
75,52,Female,AR,95582,2024-08-05
76,36,Male,AR,68315,2025-02-01
77,29,Non-Binary,OR,70380,2025-09-04
78,69,Non-Binary,NJ,82632,2025-01-19
79,64,Male,NY,98853,2025-05-21
80,40,Male,PW,102148,2025-04-29
81,62,Non-Binary,PR,85867,2024-02-09
82,64,Male,NC,107129,2025-10-20
83,61,Female,GA,81333,2024-03-15
84,57,Female,AR,79403,2025-10-15
85,67,Male,NY,59775,2025-01-28
86,69,Male,CO,85685,2024-12-08
87,24,Male,PR,51223,2025-05-26
88,56,Non-Binary,HI,74798,2024-07-01
89,43,Male,CA,60634,2025-12-15
90,67,Female,PA,55363,2025-10-15
91,37,Male,CA,87567,2024-02-28
92,66,Male,TX,94562,2024-12-14
93,23,Female,VI,33048,2024-04-27
94,28,Male,IA,72986,2024-08-01
95,52,Non-Binary,MO,68921,2025-11-07
96,66,Female,DE,86258,2024-08-21
97,48,Non-Binary,FM,95551,2024-05-23
98,27,Female,OK,52974,2024-01-13
99,45,Female,IA,57691,2025-02-12
100,67,Male,OR,76132,2025-10-10
101,53,Male,PA,47809,2024-02-11
102,52,Male,AZ,81437,2025-07-12
103,35,Male,RI,92770,2025-01-25
104,27,Female,CO,37545,2025-03-26
105,62,Female,MT,76353,2024-08-30
106,35,Non-Binary,TN,49952,2024-03-06
107,28,Female,OR,38302,2024-06-26
